RBD,"Dallas (Redbird Airport)","USA"
WRK,"Dallas (White Rock Airport)","USA"
DAL,"Dallas Love Field","USA"
DFW,"Dallas/Fort Worth Internat.","USA"
DAM,"Damas","Syrie"
DAR,"Dar es Salaam","Tanzanie"
DRW,"Darwin","Australie"
YDA,"Dawson","Canada"
DTH,"Death Valley","USA"
DOL,"Deauville (Saint Gatien)","France"
DEL,"Delhi (Indira Gandhi Internat)","Inde"
DPS,"Denpasar (Ngurah Rai)","Indonésie"
APA,"Denver (Centennial Airport)","USA"
FTG,"Denver (Front Range Airport)","USA"
QDV,"Denver (Metropolitan Area)","USA"
DEN,"Denver (Stapleton Internat.)","USA"
BJC,"Denver/Broomfield (Jeffco Airport)","USA"
DTT,"Detroit (Metropolitan Area)","USA"
DTW,"Detroit (Wayne County Airport)","USA"
YIP,"Detroit (Willow Run Airport)","USA"
DET,"Detroit City Airport","USA"
DAC,"Dhaka (Zia Internat.)","Bangladesh"
DHM,"Dharamsala","Inde"
DIJ,"Dijon (Longvic)","France"
DIL,"Dili (Komoro)","East Timor"
DNR,"Dinard (St. Malo)","France"
DIR,"Dire Dawa (A.T.D. Yilma)","Ethiopie"
DJG,"Djanet (Tiska)","Algérie"
DJE,"Djerba/Zarzis","Tunisie"
JIB,"Djibouti (Ambouli)","Djibouti"
DNK,"Dnipropetrovsk","Ukraine"
DDM,"Dodoma","Tanzanie"
DOH,"Doha","Qatar"
DSA,"Doncaster/Sheffield","Angleterre"
DTM,"Dortmund","Allemagne"
DLA,"Douala","Cameroun"
DRS,"Dresde","Allemagne"
DXB,"Dubai International Airport","EAU"
DUB,"Dublin","Irlande"
DBV,"Dubrovnik","Croatie"
DUR,"Durban (L. Botha)","Afrique du Sud"
DYU,"Dushanbe","Tajikistan"
DUS,"Dusseldorf (Rhein Ruhr)","Allemagne"
QDU,"Dusseldorf","Allemagne"
DZA,"Dzaoudzi (Pamandzi)","Mayotte"
ELS,"East London","Afrique du Sud"
EMA,"East Midlands (Derby)","Angleterre"
EDI,"Edinburgh","Ecosse"
YEA,"Edmonton (Metropolitan Area)","Canada"
YED,"Edmonton (Namao Field)","Canada"
YEG,"Edmonton Internat. Airport","Canada"
YXD,"Edmonton Municipal Airport","Canada"
EIN,"Eindhoven","Pays Bas"
EXT,"Exeter","Angleterre"
FAO,"Faro","Portugal"
FEZ,"Fès (Saiss)","Maroc"
WFI,"Fianarantsoa","Madagascar"
FSC,"Figari","France"
FLR,"Florence (Peretola)","Italie"
FRS,"Flores","Guatemala"
FTU,"Fort Dauphin","Madagascar"
FDF,"Fort de France (Le Lamentin)","Martinique"
FOR,"Fortaleza","Brésil"
IGU,"Foz do Iguacu (Cataratas)","Brésil"
FRA,"Francfort (Rhein/Main)","Allemagne"
FPO,"Freeport International Airport","Bahamas"
HGS,"Freetown (Hastings)","Sierra Leone"
FNA,"Freetown (Lungi Airport)","Sierra Leone"
JMY,"Freetown (Manny Yoko)","Sierra Leone"
JFM,"Fremantle","Australie"
FDH,"Friedrichshafen (Lowenthal)","Allemagne"
FUE,"Fuerteventura","Canaries"
FJR,"Fujairah International Airport","EAU"
FNC,"Funchal","Madère"
GAE,"Gabes","Tunisie"
GBE,"Gaborone (Sir Seretse Khama)","Botswana"
GPS,"Galapagos Islands","Equateur"
GWY,"Galway","Irlande"
GAQ,"Gao","Mali"
GOU,"Garoua","Cameroun"
GDN,"Gdansk (Rebiechowo)","Pologne"
GVA,"Genève (Genève Cointrin)","Suisse"
GEO,"Georgetown (Timehri)","Guyana"
GRO,"Gerona (Costa Brava)","Espagne"
LTD,"Ghadames","Libye"
GHA,"Ghardaia (Noumerate)","Algérie"
GIB,"Gibraltar (North Front)","Gibraltar"
GLA,"Glasgow (Abbotsichn)","Ecosse"
GOI,"Goa","Inde"
GOQ,"Golmud","Chine"
GOT,"Göteborg (Landvetter)","Suède"
GSE,"Göteborg (Save)","Suède"
GZM,"Gozo","Malte"
GRW,"Graciosa Island","Açores, Portugal"
GRX,"Granada","Espagne"
GCM,"Grand Cayman","Cayman Islands"
GDT,"Grand Turk","Turks et Caicos"
GRZ,"Graz (Thalerhof)","Austriche"
GND,"Grenade (Pearls)","Grenade"
GNB,"Grenoble (Saint Geoirs)","France"
GDL,"Guadalajara (Miguel Hidalgo)","Mexique"
GUM,"Guam","Guam"
CAN,"Guangzhou (Baiyun)","Chine"
GUA,"Guatemala City (La Aurora)","Guatemala"
GYE,"Guayaquil (Simon Bolivar)","Equateur"
GCI,"Guernesey","îles Anglo normandes"
KWL,"Guilin","Chine"
HHN,"Hahn","Allemagne"
HFA,"Haifa","Israël"
YSX,"Halifax (Shearwater Airport)","Canada"
YHZ,"Halifax International Airport","Canada"
HAM,"Hamburg (Fuhlsbuttel)","Allemagne"
XFW,"Hamburg Finkenwerder","Allemagne"
HAJ,"Hannovre (Langenhagen)","Allemagne"
HAN,"Hanoi (Noi Bai)","Viêtnam"
HRE,"Harare","Zimbabwe"
HEM,"Helsinki (Malmi)","Finlande"
HEL,"Helsinki (Vantaa)","Finlande"
HER,"Heraklion (Iraklion)","Grèce"
WNT,"Hierro","Canaries"
HIX,"Hiva Oa","Polynésie Française"
SGN,"Ho Chi Minh (Tan Son Nhut)","Viêtnam"
HBA,"Hobart","Tasmania, Australie"
HOG,"Holguin","Cuba"
HKG,"Hong Kong, Int'l Airport","Hong Kong"
HIR,"Honiara","(Henderson), Iles Salomon"
NPS,"Honolulu (Ford Island)","Hawaii"
HNL,"Honolulu International Airport","Hawaii"
HOR,"Horta (Faial Island)","Açores"
AAP,"Houston (Andrau Airpark)","USA"
DWH,"Houston (D. W. Hooks)","USA"
EFD,"Houston (Ellington Field)","USA"
HOU,"Houston (William P. Hobby Airport)","USA"
IAH,"Houston Intercontinental Airport","USA"
AXH,"Houston Southwest Airport","USA"
YND,"Hull Ottawa (Gatineau Airport)","Canada"
HRG,"Hurghada","Egypte"
HYD,"Hyderabad","Inde"
IGR,"Iguazu (Cataratas del Iguazu)","Argentine"
ILP,"Ile des Pins","Nouvelle Caledonie"
IDY,"Ile d'Yeu","France"
YGR,"Iles de la Madeleine","Canada"
INN,"Innsbruck (Kranebitten)","Austriche"
INV,"Inverness","Ecosse"
IQT,"Iquitos (F.S. Vigneta)","Pérou"
IKT,"Irkutsk","Russie"
UIK,"Irkutsk","Russie"
IFN,"Isfahan","Iran"
IOM,"Isle of Man (Ronaldsway)","Angleterre"
SKL,"Isle of Skye","Angleterre"
IST,"Istanbul (Ataturk Internat.)","Turquie"
SAW,"Istanbul (S.Gokcen Internat.)","Turquie"
